id,Ano_campeonato,time,Valor
1,2010,Flamengo,
2,2010,Internacional,
3,2010,São Paulo,
4,2010,Palmeiras,
5,2010,Guarani,
8,2010,Santos FC,
10,2010,Barueri,
15,2010,EC Vitória,
16,2010,Goiás EC,
19,2010,Avaí FC,
23,2010,Cruzeiro,23700000.0
30,2010,Corinthians,26550000.0
31,2010,Grêmio,20700000.0
36,2010,Vasco da Gama,13600000.0
37,2010,Atlético-GO,5850000.0
50,2010,Botafogo,11550000.0
79,2010,Ceará SC,6100000.0
82,2010,Fluminense,15850000.0
93,2010,Atlético-PR,6400000.0
104,2010,Atlético-MG,10300000.0
381,2023,Fluminense,3695.0
382,2023,Botafogo,2280.0
383,2023,Internacional,4115.0
384,2023,Athletico-PR,5290.0
385,2023,Goiás,713.0
386,2023,Palmeiras,8200.0
387,2023,EC Bahia,3055.0
393,2023,Vasco da Gama,3630.0
397,2023,Coritiba FC,1915.0
398,2023,Corinthians,5950.0
412,2023,São Paulo,2510.0
421,2023,Cruzeiro,1740.0
431,2023,Grêmio,2690.0
445,2023,Atlético-MG,4460.0
447,2023,Santos,5110.0
452,2023,RB Bragantino,2830.0
465,2023,Fortaleza,1330.0
471,2023,América-MG,560.0
493,2023,Cuiabá-MT,608.0
505,2023,Flamengo,7965.0
761,2011,Ceará SC,
762,2011,Figueirense FC,
763,2011,São Paulo,
764,2011,Vasco da Gama,
766,2011,Coritiba FC,
768,2011,Grêmio,
770,2011,Internacional,
772,2011,Fluminense,
777,2011,Avaí FC,
778,2011,América-MG,
782,2011,EC Bahia,
786,2011,Botafogo,
788,2011,Atlético-GO,
792,2011,Flamengo,
793,2011,Atlético-PR,
802,2011,Atlético-MG,
806,2011,Cruzeiro,26000000.0
816,2011,Corinthians,16500000.0
871,2011,Santos FC,21800000.0
963,2011,Palmeiras,18950000.0
1141,2022,Goiás,8950000.0
1152,2022,Santos,34900000.0
1166,2022,Avaí FC,4280000.0
1180,2022,Botafogo,29780000.0
1194,2022,Flamengo,83800000.0
1207,2022,Ceará SC,9800000.0
1216,2022,Fortaleza,12450000.0
1229,2022,Juventude,7800000.0
1239,2022,Palmeiras,91000000.0
1253,2022,Cuiabá-MT,10000000.0
1268,2022,Fluminense,28050000.0
1280,2022,São Paulo,31300000.0
1289,2022,América-MG,8650000.0
1299,2022,Corinthians,44600000.0
1313,2022,Coritiba FC,9200000.0
1326,2022,Athletico-PR,26750000.0
1340,2022,Atlético-GO,8650000.0
1349,2022,Atlético-MG,63000000.0
1364,2022,Internacional,34300000.0
1377,2022,RB Bragantino,36500000.0
1521,2012,Grêmio,18550000.0
1533,2012,Botafogo,12750000.0
1542,2012,Cruzeiro,18250000.0
1550,2012,EC Bahia,5900000.0
1562,2012,Flamengo,20400000.0
1572,2012,Náutico,3300000.0
1582,2012,Palmeiras,17000000.0
1593,2012,Santos FC,15150000.0
1600,2012,Fluminense,25000000.0
1612,2012,Portuguesa,5000000.0
1626,2012,São Paulo,27500000.0
1632,2012,Corinthians,10600000.0
1643,2012,Coritiba FC,5100000.0
1648,2012,Ponte Preta,3050000.0
1657,2012,Atlético-GO,4250000.0
1666,2012,Atlético-MG,19500000.0
1676,2012,Sport Recife,4000000.0
1686,2012,Internacional,12250000.0
1696,2012,Vasco da Gama,24000000.0
1705,2012,Figueirense FC,6200000.0
1901,2021,Santos,32000000.0
1920,2021,Grêmio,27300000.0
1939,2021,EC Bahia,11400000.0
1958,2021,Flamengo,81250000.0
1977,2021,Ceará SC,4230000.0
1996,2021,Fortaleza,8050000.0
2015,2021,Juventude,5450000.0
2034,2021,Palmeiras,46650000.0
2053,2021,Cuiabá-MT,6750000.0
